Tanggal,Total_Kredit,Kredit_Modal_Kerja,Kredit_Investasi,Kredit_Konsumsi,NPL_Gross_Pct,BI_Rate_Pct,DPK
2015-01-01,3718.43,1659.85,1010.98,1023.05,2.97,4.67,4376.2
2015-02-01,3796.46,1687.93,1040.47,1041.15,3.45,4.27,4514.63
2015-03-01,3919.86,1705.96,1070.68,1118.41,3.75,4.61,4717.88
2015-04-01,4012.65,1785.1,1104.71,1137.79,3.26,4.79,4791.25
2015-05-01,3970.89,1768.25,1126.72,1123.08,3.54,4.01,4672.21
2015-06-01,4015.01,1835.94,1076.12,1135.51,2.39,4.34,4682.39
2015-07-01,4143.21,1839.88,1149.68,1159.88,2.04,4.62,5017.66
2015-08-01,4125.44,1841.85,1110.3,1138.97,2.35,4.46,4870.98
2015-09-01,4037.81,1796.13,1103.32,1131.95,2.42,4.57,4765.32
2015-10-01,4016.75,1764.08,1120.94,1112.5,2.36,4.38,4738.56
2015-11-01,3920.96,1767.68,1079.23,1115.42,1.93,4.52,4636.63
2015-12-01,3932.81,1765.14,1065.36,1098.54,2.77,4.47,4633.5
2016-01-01,4043.41,1815.14,1101.21,1117.3,2.66,4.73,4742.55
2016-02-01,4053.03,1785.41,1124.78,1129.06,3.43,4.55,4755.23
2016-03-01,4149.54,1874.6,1130.17,1169.3,3.41,4.57,4894.82
2016-04-01,4255.26,1865.55,1173.44,1181.33,2.95,4.42,4994.03
2016-05-01,4272.3,1912.91,1175.57,1181.44,2.9,4.4,5005.67
2016-06-01,4376.14,1991.19,1193.66,1229.7,2.48,4.41,5169.16
2016-07-01,4367.73,1923.83,1233.29,1227.38,2.53,4.58,5141.18
2016-08-01,4363.8,1930.56,1209.55,1212.74,2.65,4.42,5224.48
2016-09-01,4461.34,1987.29,1196.49,1240.7,2.0,4.56,5131.84
2016-10-01,4318.63,1911.72,1190.42,1213.39,2.52,4.92,5150.55
2016-11-01,4281.3,1874.16,1167.43,1172.7,2.39,4.67,5114.23
2016-12-01,4226.11,1881.99,1174.97,1157.98,2.56,4.43,4883.13
